ISO;Score;Country_EN
NOR;91,89;Norway
DNK;89,6;Denmark
SWE;88,32;Sweden
NLD;87,73;Netherlands
FIN;86,55;Finland
EST;86,44;Estonia
PRT;85,9;Portugal
IRL;85,59;Ireland
CHE;84,01;Switzerland
DEU;83,84;Germany
LUX;83,8;Luxembourg
LVA;82,9;Latvia
LTU;81,73;Lithuania
CAN;81,7;Canada
LIE;81,52;Liechtenstein
BEL;81,49;Belgium
CZE;80,14;Czechia
ISL;80,13;Iceland
NZL;79,72;New Zealand
TLS;78,92;East Timor
FRA;78,65;France
WSM;78,41;Samoa
GBR;77,51;United Kingdom
JAM;77,3;Jamaica
TTO;76,69;Trinidad and Tobago
CRI;76,13;Costa Rica
TWN;76,13;Taiwan
SUR;76,11;Suriname
SVK;76,03;Slovakia
ESP;76,01;Spain
MDA;74,86;Moldova
AUT;74,69;Austria
MRT;74,2;Mauritania
NAM;74,16;Namibia
DOM;73,89;Dominican Republic
MKD;73,78;North Macedonia
SYC;73,75;Seychelles
ZAF;73,73;South Africa
AUS;73,42;Australia
MNE;73,21;Montenegro
CPV;72,77;Cabo Verde
SVN;72,6;Slovenia
ARM;71,6;Armenia
FJI;71,23;Fiji
TON;70,11;Tonga
ITA;69,8;Italy
POL;69,17;Poland
HRV;68,79;Croatia
ROU;68,45;Romania
GHA;67,71;Ghana
URY;67,7;Uruguay
CHL;67,32;Chile
CIV;66,89;Côte d'Ivoire
BLZ;66,85;Belize
USA;66,59;United States of America
GAB;65,83;Gabon
MUS;65,55;Mauritius
GMB;65,53;Gambia
BGR;65,32;Bulgaria
LBR;65,13;Liberia
UKR;65;Ukraine
KOR;64,87;South Korea
MWI;64,46;Malawi
SLE;64,27;Sierra Leone
CYP;63,14;Cyprus
ARG;63,13;Argentina
HUN;62,98;Hungary
CSS;62,83;OECS
COG;62,57;Congo-Brazzaville
JPN;62,12;Japan
COM;61,47;Comoros
AND;61,44;Andorra
MLT;60,96;Malta
NPL;60,52;Nepal
XKX;60,19;Kosovo
CAF;60,12;Central African Republic
GUY;60,1;Guyana
GIN;59,97;Guinea
BWA;59,78;Botswana
NER;59,71;Niger
BIH;58,85;Bosnia-Herzegovina
BRA;58,59;Brazil
PAN;58,55;Panama
QAT;58,48;Qatar
SWZ;58,31;Eswatini
BFA;58,24;Burkina Faso
THA;58,12;Thailand
GRC;57,15;Greece
BEN;56,73;Benin
CTU;56,72;Northern Cyprus
PNG;56,02;Papua New Guinea
GNB;55,95;Guinea-Bissau
HTI;55,92;Haiti
SEN;55,44;Senegal
ZMB;55,38;Zambia
TCD;54,81;Chad
TZA;54,8;Tanzania
SRB;54,48;Serbia
ALB;54,1;Albania
MDG;54,07;Madagascar
ISR;53,23;Israel
KEN;53,22;Kenya
GEO;53,05;Georgia
AGO;52,44;Angola
MOZ;52,42;Mozambique
MDV;52,36;Maldives
MYS;52,07;Malaysia
BDI;51,78;Burundi
MNG;51,34;Mongolia
ECU;51,3;Ecuador
IDN;51,15;Indonesia
NGA;51,03;Nigeria
TGO;50,89;Togo
MLI;50,56;Mali
PRY;50,48;Paraguay
ZWE;50,31;Zimbabwe
BRN;50,09;Brunei
TUN;49,97;Tunisia
COL;49,63;Colombia
KGZ;49,11;Kyrgyzstan
MEX;49,01;Mexico
LSO;48,92;Lesotho
COD;48,91;DR Congo
BOL;48,88;Bolivia
PER;47,76;Peru
SGP;47,19;Singapore
GNQ;46,49;Equatorial Guinea
UGA;46;Uganda
MAR;45,97;Morocco / Western Sahara 
CMR;44,95;Cameroon
KWT;44,66;Kuwait
JOR;44,3;Jordan
SLV;44,01;El Salvador
PHL;43,36;Philippines
HKG;43,06;Hong Kong
SSD;42,57;South Sudan
OMN;42,52;Oman
GTM;42,28;Guatemala
DZA;41,98;Algeria
LBN;41,91;Lebanon
ETH;41,37;Ethiopia
KAZ;41,11;Kazakhstan
LBY;40,59;Libya
RWA;40,54;Rwanda
SOM;39,4;Somalia
HND;38,18;Honduras
BTN;37,29;Bhutan
UZB;37,27;Uzbekistan
SDN;35,73;Sudan
LKA;35,21;Sri Lanka
KHM;34,28;Cambodia
PAK;33,9;Pakistan
LAO;33,76;Laos
YEM;33,67;Yemen
TJK;33,31;Tajikistan
VEN;33,06;Venezuela
PSE;31,92;Palestine
TUR;31,6;Türkiye
IND;31,28;India
ARE;30,62;United Arab Emirates
DJI;30,14;Djibouti
RUS;29,86;Russia
NIC;29,2;Nicaragua
AZE;27,99;Azerbaijan
BGD;27,64;Bangladesh
SAU;27,14;Saudi Arabia
BLR;26,8;Belarus
CUB;25,63;Cuba
IRQ;25,48;Iraq
EGY;25,1;Egypt
MMR;24,41;Myanmar
CHN;23,36;China
BHR;23,21;Bahrain
VNM;22,31;Vietnam
TKM;22,01;Turkmenistan
IRN;21,3;Iran
PRK;20,66;North Korea
AFG;19,09;Afghanistan
SYR;17,41;Syria
ERI;16,64;Eritrea
